word_en,word_pt,polarity
AGGRAVATION,AGRAVAMENTO;AGRAVAMENTOs,-1
AGGRAVATIONS,Agravos;Agravoss,-1
ALERTED,Alertados;Alertadas;Alertada;Alertado,-1
ALERTING,Alerta;Alertos;Alerto;Alertas,-1
ALIENATE,ALIENARs;ALIENAR,-1
ALIENATED,ALIENADOs;ALIENADO,-1
ALIENATES,Alienars;Alienar,-1
ALIENATING,Alienante;Alienantes,-1
ALIENATION,ALIENAÇÃOs;ALIENAÇÃO,-1
ALIENATIONS,Alienações;Alienaçõess,-1
ALLEGATION,ALEGAÇÃOs;ALEGAÇÃO,-1
ALLEGATIONS,Alegaçõess;Alegações,-1
ALLEGE,Alega;Alegos;Alego;Alegas,-1
ALLEGED,Alegou;Alegous,-1
ALLEGEDLY,ALEGADAMENTE;ALEGADAMENTEs,-1
ALLEGES,Alega;Alegos;Alego;Alegas,-1
ALLEGING,Alegando;Alegandos;Alegandas;Aleganda,-1
ALLIANCE,ALIANÇAs;ALIANÇA,1
ALLIANCES,Aliançass;Alianças,1
ANNOY,IRRITARs;IRRITAR,-1
ANNOYANCE,ABORRECIMENTO;ABORRECIMENTOs,-1
ANNOYANCES,Aborrecimentos;Aborrecimentoss,-1
ANNOYED,INCOMODADOs;INCOMODADO,-1
ANNOYING,CHATO;CHATOs,-1
ANNOYS,Irrita;Irrito;Irritas;Irritos,-1
ANNUL,ANULAR;ANULARs,-1
ANNULLED,Anulada;Anulado;Anuladas;Anulados,-1
ANNULLING,Anulars;Anular,-1
ANNULMENT,ANULAÇÃO;ANULAÇÃOs,-1
ANNULMENTS,Anulaçõess;Anulações,-1
ANNULS,Annuls;Annulss,-1
ANOMALIES,Anomaliass;Anomalias,-1
ANOMALOUS,Anômala;Anômalo;Anômalos;Anômalas,-1
ANOMALOUSLY,Anomalamentes;Anomalamente,-1
ANOMALY,ANOMALIA;ANOMALIAs,-1
ANTICOMPETITIVE,Anticompetitiva;Anticompetitivos;Anticompetitivo;Anticompetitivas,-1
ANTITRUST,Antitrustes;Antitruste,-1
ARGUE,DISCUTIRs;DISCUTIR,-1
ARGUED,Argumentou;Argumentous,-1
ARGUING,Discutinda;Discutindos;Discutindo;Discutindas,-1
ARGUMENT,ARGUMENTO;ARGUMENTOs,-1
ARGUMENTATIVE,ARGUMENTATIVO;ARGUMENTATIVOs,-1
ARGUMENTS,Argumentoss;Argumentos,-1
ARREARAGE,Atrasos;Atrasas;Atrasa;Atraso,-1
ARREARAGES,Retrasos;Retrasoss,-1
ARREARS,Atrasadoss;Atrasados,-1
ARREST,PRENDER PRISÃO;PRENDER PRISÃOs,-1
ARRESTED,PRESO;PRESOs,-1
ARRESTS,Prisõess;Prisões,-1
ARTIFICIALLY,Artificialmente;Artificialmentes,-1
ASSAULT,ASSALTO;ASSALTOs,-1
ASSAULTED,Agredido;Agredidas;Agredidos;Agredida,-1
ASSAULTING,Agredir;Agredirs,-1
ASSAULTS,Assaltoss;Assaltos,-1
ASSERTIONS,Afirmações;Afirmaçõess,-1
ASSURE,ASSEGURAR;ASSEGURARs,1
ASSURED,CONFIANTEs;CONFIANTE,1
ASSURES,Garante;Garantes,1
ASSURING,Assegurando;Assegurandos;Asseguranda;Assegurandas,1
ATTAIN,ATINGIRs;ATINGIR,1
ATTAINED,Alcançados;Alcançada;Alcançadas;Alcançado,1
ATTAINING,Alcançanda;Alcançandos;Alcançando;Alcançandas,1
ATTAINMENT,REALIZAÇÃOs;REALIZAÇÃO,1
ATTAINMENTS,Realizações;Realizaçõess,1
ATTAINS,Atinge;Atinges,1
ATTRACTIVE,ATRAENTE;ATRAENTEs,1
ATTRACTIVENESS,Atratividades;Atratividade,1
ATTRITION,ATRITOs;ATRITO,-1
AVERSELY,Aversamente;Aversamentes,-1
BACKDATING,Dataçãas;Dataçãos;Dataçãa;Datação,-1
BAD,RUIMs;RUIM,-1
BAIL,FIANÇAs;FIANÇA,-1
BAILOUT,Resgates;Resgate,-1
BALK,Balks;Balk,-1
BALKED,Recusado;Recusados;Recusadas;Recusada,-1
BANKRUPT,FALIDO;FALIDOs,-1
BANKRUPTCIES,Falências;Falênciass,-1
BANKRUPTCY,FALÊNCIA;FALÊNCIAs,-1
BANKRUPTED,Falidas;Falidos;Falido;Falida,-1
BANKRUPTING,Bancadas;Bancado;Bancados;Bancada,-1
BANKRUPTS,Falências;Falênciass,-1
BANS,Proibiçõess;Proibições,-1
BARRED,BARRADO;BARRADOs,-1
BARRIER,BARREIRA;BARREIRAs,-1
BARRIERS,Barreirass;Barreiras,-1
BEAUTIFUL,LINDO;LINDOs,1
BEAUTIFULLY,Lindamentes;Lindamente,1
BENEFICIALLY,Benéficas;Benéfica;Benéficos;Benéfico,1
BENEFITED,Beneficiada;Beneficiado;Beneficiados;Beneficiadas,1
BENEFITING,Beneficianda;Beneficiandas;Beneficiandos;Beneficiando,1
BENEFITTED,Beneficiada;Beneficiado;Beneficiados;Beneficiadas,1
BENEFITTING,Beneficianda;Beneficiandas;Beneficiandos;Beneficiando,1
BEST,MELHOR;MELHORs,1
BETTER,MELHORAR;MELHORARs,1
BOLSTERED,Reforçadas;Reforçado;Reforçados;Reforçada,1
BOLSTERING,Reforços;Reforças;Reforça;Reforço,1
BOLSTERS,Reforçadores;Reforçadoress,1
BOOM,Booms;Boom,1
BOOMING,BOOMINGs;BOOMING,1
BOOST,IMPULSIONARs;IMPULSIONAR,1
BOOSTED,Impulsionado;Impulsionadas;Impulsionados;Impulsionada,1
BOTTLENECK,GARGALO;GARGALOs,-1
BOTTLENECKS,Gargalos;Gargaloss,-1
BOYCOTT,BOICOTE;BOICOTEs,-1
BOYCOTTED,Boicotadas;Boicotado;Boicotados;Boicotada,-1
BOYCOTTING,Boicotes;Boicote,-1
BOYCOTTS,Boicotes;Boicotess,-1
BREACH,VIOLAÇÃOs;VIOLAÇÃO,-1
BREACHED,Violou;Violous,-1
BREACHES,Violaçõess;Violações,-1
BREACHING,Violação;Violaçãos;Violaçãas;Violaçãa,-1
BREAK,QUEBRARs;QUEBRAR,-1
BREAKAGE,Quebra;Quebras;Quebro;Quebros,-1
BREAKAGES,Quebrass;Quebras,-1
BREAKDOWN,DISCRIMINAÇÃO;DISCRIMINAÇÃOs,-1
BREAKDOWNS,Quebrass;Quebras,-1
BREAKS,Quebra;Quebras;Quebro;Quebros,-1
BREAKTHROUGH,AVANÇO;AVANÇOs,1
BREAKTHROUGHS,Avanços;Avançoss,1
BRIBE,SUBORNOs;SUBORNO,-1
BRIBED,Subornada;Subornados;Subornado;Subornadas,-1
BRIBERIES,Subordinárioss;Subordinários,-1
BRIBERY,SUBORNOs;SUBORNO,-1
BRIBES,Subornos;Subornoss,-1
BRIBING,Subornos;Suborna;Suborno;Subornas,-1
BRILLIANT,BRILHANTE;BRILHANTEs,1
BURDEN,FARDO;FARDOs,-1
BURDENED,Sobrecarregada;Sobrecarregado;Sobrecarregados;Sobrecarregadas,-1
BURDENING,Sobrecarregar;Sobrecarregars,-1
BURDENS,Encargoss;Encargos,-1
BURDENSOME,Onerosa;Onerosos;Onerosas;Oneroso,-1
BURNED,Queimado;Queimados;Queimada;Queimadas,-1
CALAMITIES,Calamidadess;Calamidades,-1
CALAMITOUS,Calamitosos;Calamitosas;Calamitoso;Calamitosa,-1
CALAMITY,CALAMIDADEs;CALAMIDADE,-1
CANCEL,CANCELAR;CANCELARs,-1
CANCELED,CANCELADOs;CANCELADO,-1
CANCELING,Cancelandos;Cancelando;Cancelanda;Cancelandas,-1
CANCELLATION,CANCELAMENTOs;CANCELAMENTO,-1
CANCELLATIONS,Cancelamentos;Cancelamentoss,-1
CANCELLED,CANCELADOs;CANCELADO,-1
CANCELLING,Cancelandos;Cancelando;Cancelanda;Cancelandas,-1
CANCELS,Cancela;Cancelos;Cancelas;Cancelo,-1
CARELESS,DESCUIDADO;DESCUIDADOs,-1
CARELESSLY,Descuidadamente;Descuidadamentes,-1
CARELESSNESS,Descuida;Descuido;Descuidos;Descuidas,-1
CATASTROPHE,CATÁSTROFE;CATÁSTROFEs,-1
CATASTROPHES,Catástrofess;Catástrofes,-1
CATASTROPHIC,CATASTRÓFICO;CATASTRÓFICOs,-1
CATASTROPHICALLY,Catastroficamentes;Catastroficamente,-1
CAUTION,CUIDADO;CUIDADOs,-1
CAUTIONARY,Advertêncio;Advertêncios;Advertências;Advertência,-1
CAUTIONED,Advertidas;Advertido;Advertidos;Advertida,-1
CAUTIONING,Advertindas;Advertindos;Advertinda;Advertindo,-1
CAUTIONS,Cuidadoss;Cuidados,-1
CEASE,CESSAR;CESSARs,-1
CEASED,Cessous;Cessou,-1
CEASES,Cessos;Cessa;Cesso;Cessas,-1
CEASING,Cessando;Cessandos;Cessanda;Cessandas,-1
CENSURE,CENSURA;CENSURAs,-1
CENSURED,Censuradas;Censurada;Censurados;Censurado,-1
CENSURES,Censurass;Censuras,-1
CENSURING,Censuro;Censuros;Censura;Censuras,-1
CHALLENGE,DESAFIO;DESAFIOs,-1
CHALLENGED,Desafiada;Desafiados;Desafiado;Desafiadas,-1
CHALLENGES,Desafioss;Desafios,-1
CHALLENGING,DESAFIANTEs;DESAFIANTE,-1
CHARGEOFFS,Chargeoffs;Chargeoffss,-1
CHARITABLE,Caridades;Caridade,1
CIRCUMVENT,Contornanda;Contornando;Contornandos;Contornandas,-1
CIRCUMVENTED,Contornado;Contornados;Contornadas;Contornada,-1
CIRCUMVENTING,Contornanda;Contornando;Contornandos;Contornandas,-1
CIRCUMVENTION,Contornar;Contornars,-1
CIRCUMVENTIONS,Contorçõess;Contorções,-1
CIRCUMVENTS,Contornas;Contorno;Contorna;Contornos,-1
CLAIMING,Reivindicaçãos;Reivindicaçãa;Reivindicação;Reivindicaçãas,-1
CLAIMS,REIVINDICAÇÕESs;REIVINDICAÇÕES,-1
CLAWBACK,Clawbacks;Clawback,-1
CLOSEOUT,Closeouts;Closeout,-1
CLOSEOUTS,Closeoutss;Closeouts,-1
CLOSINGS,Fechamentos;Fechamentas;Fechamenta;Fechamento,-1
CLOSURE,ENCERRAMENTOs;ENCERRAMENTO,-1
CLOSURES,Fechamentoss;Fechamentos,-1
COERCE,Coagir,-1
COERCED,Coagido;Coagida;Coagidos;Coagidas,-1
COERCES,Coerces;Coercess,-1
COERCING,Coagir;Coagirs,-1
COERCION,COERÇÃO;COERÇÃOs,-1
COERCIVE,Coercitivo;Coercitiva;Coercitivos;Coercitivas,-1
COLLABORATE,COLABORARs;COLABORAR,1
COLLABORATED,Colaborada;Colaborado;Colaboradas;Colaborados,1
COLLABORATES,Colabora;Colaboro;Colaboros;Colaboras,1
COLLABORATING,Colaboranda;Colaborando;Colaborandas;Colaborandos,1
COLLABORATION,COLABORAÇÃOs;COLABORAÇÃO,1
COLLABORATIONS,Colaborações;Colaboraçõess,1
COLLABORATIVE,Colaborativas;Colaborativo;Colaborativos;Colaborativa,1
COLLABORATOR,COLABORADORs;COLABORADOR,1
COLLABORATORS,Colaboradoress;Colaboradores,1
COLLAPSE,COLAPSO;COLAPSOs,-1
COLLAPSED,Entrou em colapsa;Entrou em colapsos;Entrou em colapso;Entrou em colapsas,-1
COLLAPSES,Colapsos,-1
COLLAPSING,Desmoronar;Desmoronars,-1
COLLISION,COLISÃOs;COLISÃO,-1
COLLISIONS,Colisões;Colisõess,-1
COLLUDE,COLUE;COLUEs,-1
COLLUDED,Conluiou,-1
COLLUDES,Conlui,-1
COLLUDING,Conspirars;Conspirar,-1
COLLUSION,Conluio,-1
COLLUSIONS,Conluios,-1
COLLUSIVE,Colusivo;Colusivos;Colusivas;Colusiva,-1
COMPLAIN,RECLAMAR;RECLAMARs,-1
COMPLAINED,Reclamou;Reclamous,-1
COMPLAINING,RECLAMANDOs;RECLAMANDO,-1
COMPLAINS,Reclamo;Reclamos;Reclamas;Reclama,-1
COMPLAINT,RECLAMAÇÃOs;RECLAMAÇÃO,-1
COMPLAINTS,Queixas;Queixass,-1
COMPLICATE,COMPLICARs;COMPLICAR,-1
COMPLICATED,COMPLICADO;COMPLICADOs,-1
COMPLICATES,Complica,-1
COMPLICATING,Complicandos;Complicanda;Complicando;Complicandas,-1
COMPLICATION,COMPLICAÇÃO;COMPLICAÇÃOs,-1
COMPLICATIONS,Complicaçõess;Complicações,-1
COMPLIMENT,ELOGIO;ELOGIOs,1
COMPLIMENTARY,Complementars;Complementar,1
COMPLIMENTED,Elogiado;Elogiada;Elogiados;Elogiadas,1
COMPLIMENTING,Elogiandos;Elogiandas;Elogianda;Elogiando,1
COMPLIMENTS,Elogios;Elogioss,1
COMPULSION,COMPULSÃO;COMPULSÃOs,-1
CONCEALED,Escondida;Escondido;Escondidas;Escondidos,-1
CONCEALING,Escondendas;Escondendo;Escondenda;Escondendos,-1
CONCEDE,Conceders;Conceder,-1
CONCEDED,Concedida;Concedidos;Concedidas;Concedido,-1
CONCEDES,Concedes;Concede,-1
CONCEDING,Concedenda;Concedendo;Concedendos;Concedendas,-1
CONCERN,PREOCUPAÇÃO;PREOCUPAÇÃOs,-1
CONCERNED,Preocupado,-1
CONCERNS,Preocupações,-1
CONCILIATING,Conciliandas;Conciliandos;Concilianda;Conciliando,-1
CONCILIATION,CONCILIAÇÃO;CONCILIAÇÃOs,-1
CONCILIATIONS,Conciliações;Conciliaçõess,-1
CONCLUSIVE,Conclusivas;Conclusiva;Conclusivo;Conclusivos,1
CONCLUSIVELY,Conclusivamente;Conclusivamentes,1
CONDEMN,CONDENARs;CONDENAR,-1
CONDEMNATION,CONDENAÇÃO;CONDENAÇÃOs,-1
CONDEMNATIONS,Condenaçõess;Condenações,-1
CONDEMNED,CONDENADO;CONDENADOs,-1
CONDEMNING,Condenando,-1
CONDEMNS,Condena;Condenas;Condeno;Condenos,-1
CONDONE,Tomerones;Tomerone,-1
CONDONED,TODADO;TODADOs,-1
CONDUCIVE,Propícia;Propícios;Propícias;Propício,1
CONFESS,CONFESSAR;CONFESSARs,-1
CONFESSED,CONFESSADOs;CONFESSADO,-1
CONFESSES,Confessas;Confessos;Confesso;Confessa,-1
CONFESSING,Confessandas;Confessanda;Confessandos;Confessando,-1
CONFESSION,CONFISSÃOs;CONFISSÃO,-1
CONFIDENT,CONFIANTEs;CONFIANTE,1
CONFINE,LIMITAR;LIMITARs,-1
CONFINED,CONFINADO;CONFINADOs,-1
CONFINEMENT,Confinamentos;Confinamentas;Confinamento;Confinamenta,-1
CONFINEMENTS,Confinamentoss;Confinamentos,-1
CONFINES,CONFINS;CONFINSs,-1
CONFINING,Confinandas;Confinando;Confinanda;Confinandos,-1
CONFISCATE,CONFISCAR;CONFISCARs,-1
CONFISCATED,Confiscado;Confiscada;Confiscadas;Confiscados,-1
CONFISCATES,Confiscos;Confiscas;Confisco;Confisca,-1
CONFISCATING,Confiscando;Confiscandos;Confiscanda;Confiscandas,-1
CONFISCATION,CONFISCO;CONFISCOs,-1
CONFISCATIONS,Confiscos;Confiscoss,-1
CONFLICT,CONFLITOs;CONFLITO,-1
CONFLICTED,Conflito;Conflitos;Conflita;Conflitas,-1
CONFLICTING,Conflitante;Conflitantes,-1
CONFLICTS,Conflitos;Conflitoss,-1
CONFRONT,ENFRENTAR;ENFRENTARs,-1
CONFRONTATION,CONFRONTOs;CONFRONTO,-1
CONFRONTATIONAL,Confrontos;Confronto;Confronta;Confrontas,-1
CONFRONTATIONS,Confrontoss;Confrontos,-1
CONFRONTED,Confrontado;Confrontados;Confrontadas;Confrontada,-1
CONFRONTING,Confrontandos;Confrontando;Confrontanda;Confrontandas,-1
CONFRONTS,Confrontos;Confronto;Confrontas;Confronta,-1
CONFUSE,CONFUNDIRs;CONFUNDIR,-1
CONFUSED,CONFUSOs;CONFUSO,-1
CONFUSES,Confunda;Confundas;Confundo;Confundos,-1
CONFUSING,Confusa;Confusos;Confusas;Confuso,-1
CONFUSINGLY,Confusamente,-1
CONFUSION,CONFUSÃO;CONFUSÃOs,-1
CONSPIRACIES,Conspirações;Conspiraçõess,-1
CONSPIRACY,CONSPIRAÇÃO;CONSPIRAÇÃOs,-1
CONSPIRATOR,CONSPIRADORs;CONSPIRADOR,-1
CONSPIRATORIAL,Conspiratório,-1
CONSPIRATORS,Conspiradoress;Conspiradores,-1
CONSPIRE,CONSPIRAR;CONSPIRARs,-1
CONSPIRED,Conspirada;Conspiradas;Conspirado;Conspirados,-1
CONSPIRES,Conspira;Conspiras;Conspiros;Conspiro,-1
CONSPIRING,Conspiraçãa;Conspiração;Conspiraçãas;Conspiraçãos,-1
CONSTRUCTIVE,CONSTRUTIVO;CONSTRUTIVOs,1
CONSTRUCTIVELY,Construtivamente;Construtivamentes,1
CONTEMPT,DESPREZOs;DESPREZO,-1
CONTEND,Contenda;Contendo;Contendos;Contendas,-1
CONTENDED,Contestado;Contestada;Contestados;Contestadas,-1
CONTENDING,Disputandos;Disputanda;Disputandas;Disputando,-1
CONTENDS,Afirma;Afirmo;Afirmas;Afirmos,-1
CONTENTION,CONTENÇÃO;CONTENÇÃOs,-1
CONTENTIONS,Alegaçõess;Alegações,-1
CONTENTIOUS,Contenciosas;Contenciosos;Contenciosa;Contencioso,-1
CONTENTIOUSLY,Contentemente;Contentementes,-1
CONTESTED,Contestado;Contestada;Contestados;Contestadas,-1
CONTESTING,Contestandos;Contestando;Contestandas;Contestanda,-1
CONTRACTION,CONTRAÇÃO;CONTRAÇÃOs,-1
CONTRACTIONS,Contrações;Contraçõess,-1
CONTRADICT,Contradizer;Contradizers,-1
CONTRADICTED,Contraditos;Contradito;Contradita;Contraditas,-1
CONTRADICTING,Contraditória;Contraditório;Contraditórios;Contraditórias,-1
CONTRADICTION,CONTRADIÇÃOs;CONTRADIÇÃO,-1
CONTRADICTIONS,Contradiçõess;Contradições,-1
CONTRADICTORY,CONTRADITÓRIO;CONTRADITÓRIOs,-1
CONTRADICTS,Contradizs;Contradiz,-1
CONTRARY,CONTRÁRIO;CONTRÁRIOs,-1
CONTROVERSIAL,CONTROVERSOs;CONTROVERSO,-1
CONTROVERSIES,Controvérsiass;Controvérsias,-1
CONTROVERSY,CONTROVÉRSIAs;CONTROVÉRSIA,-1
CONVICT,CONDENARs;CONDENAR,-1
CONVICTED,CONDENADO;CONDENADOs,-1
CONVICTING,Convictos;Convicta;Convictas;Convicto,-1
CONVICTION,CONVICÇÃO;CONVICÇÃOs,-1
CONVICTIONS,Condenaçõess;Condenações,-1
CORRECTED,Corrigidos;Corrigido;Corrigidas;Corrigida,-1
CORRECTING,Correção;Correçãos;Correçãa;Correçãas,-1
CORRECTION,CORREÇÃO;CORREÇÃOs,-1
CORRECTIONS,Correçõess;Correções,-1
CORRECTS,Corrige;Corriges,-1
CORRUPT,Corruptas;Corrupta;Corruptos;Corrupto,-1
CORRUPTED,Corrompido;Corrompidas;Corrompida;Corrompidos,-1
CORRUPTING,Corrupção;Corrupçãas;Corrupçãa;Corrupçãos,-1
CORRUPTION,CORRUPÇÃO;CORRUPÇÃOs,-1
CORRUPTIONS,Corrupções;Corrupçõess,-1
CORRUPTLY,Corruptas;Corrupta;Corruptos;Corrupto,-1
CORRUPTNESS,Corrupção;Corrupçãas;Corrupçãa;Corrupçãos,-1
COSTLY,Caros;Cara;Caro;Caras,-1
COUNTERCLAIM,Reconvençãa;Reconvenção;Reconvençãas;Reconvençãos,-1
COUNTERCLAIMED,Reconvenções;Reconvençõess,-1
COUNTERCLAIMING,Reconvençãa;Reconvenção;Reconvençãas;Reconvençãos,-1
COUNTERCLAIMS,Reconvençãa;Reconvenção;Reconvençãas;Reconvençãos,-1
COUNTERFEIT,FALSIFICAR;FALSIFICARs,-1
COUNTERFEITED,Falsificadas;Falsificada;Falsificados;Falsificado,-1
COUNTERFEITER,Falsificador;Falsificadors,-1
COUNTERFEITERS,Falsificadoress;Falsificadores,-1
COUNTERFEITING,Falsificaçãa;Falsificação;Falsificaçãas;Falsificaçãos,-1
COUNTERFEITS,Falsificaçõess;Falsificações,-1
COUNTERMEASURE,Contramedidos;Contramedido;Contramedida;Contramedidas,-1
COUNTERMEASURES,Contramedidass;Contramedidas,-1
COURTEOUS,CORTÊS;CORTÊSs,1
CREATIVE,Criativa;Criativas;Criativo;Criativos,1
CREATIVELY,Criativamente;Criativamentes,1
CREATIVENESS,Criatividade,1
CREATIVITY,Criatividade;Criatividades,1
CRIME,CRIME;CRIMEs,-1
CRIMES,Crimess;Crimes,-1
CRIMINAL,Criminoso,-1
CRIMINALLY,CRIMINALMENTE;CRIMINALMENTEs,-1
CRIMINALS,Criminosos,-1
CRISES,Crises,-1
CRISIS,Crise,-1
CRITICALLY,Criticamentes;Criticamente,-1
CRITICISM,CRÍTICA;CRÍTICAs,-1
CRITICISMS,Críticass;Críticas,-1
CRITICIZE,CRITICAR;CRITICARs,-1
CRITICIZED,Criticado;Criticada;Criticadas;Criticados,-1
CRITICIZES,Critica;Criticos;Critico;Criticas,-1
CRITICIZING,Criticando,-1
CRUCIAL,CRUCIALs;CRUCIAL,-1
CRUCIALLY,Crucialmentes;Crucialmente,-1
CULPABILITY,CULPABILIDADE;CULPABILIDADEs,-1
CULPABLE,Culpávels;Culpável,-1
CULPABLY,Culpávels;Culpável,-1
CUMBERSOME,Pesados;Pesado;Pesadas;Pesada,-1
CURTAIL,Reduçãos;Reduçãas;Redução;Reduçãa,-1
CURTAILED,Reduzido,-1
CURTAILING,Reduzindo,-1
